시설ID,컨텐츠 명,x 좌표,y 좌표,위도,경도
강서구_주차장001,개화역 자전거 주차장,126.7979329,37.57746342,33.47809903,124.8477154
강서구_주차장002,신방화역 환승센터 내,126.8177896,37.56677956,33.47809894,124.8477157
